Date,Open,Close,Poly_Center,Upper_Band,Lower_Band,Signal,Position,Daily_Return,Strategy_Return,Strategy_Portfolio_Value,Simple_Portfolio_Value
2010-01-04,10.18000030517578,10.399999618530272,,,,,0.0,0.0,0.0,10000.0,10000.0
2010-01-05,10.380000114440918,10.470000267028809,,,,,0.0,0.006730831833283268,0.0,10000.0,10067.308318332833
2010-01-06,10.460000038146973,10.4399995803833,,,,,0.0,-0.002865395022002337,-0.0,10000.0,10038.65436811281
2010-01-07,10.390000343322754,10.390000343322754,,,,,0.0,-0.0047891991446528115,-0.0,10000.0,9990.762376666282
2010-01-08,10.329999923706056,10.420000076293944,,,,,0.0,0.0028873659268422447,0.0,10000.0,10019.636035934702
2010-01-11,10.5,10.68000030517578,,,,,0.0,0.024952037138017857,0.0,10000.0,10269.15640731488
2010-01-12,10.5600004196167,10.1899995803833,,,,,0.0,-0.04588021636619366,-0.0,10000.0,9810.354243652946
2010-01-13,10.25,10.359999656677246,,,,,0.0,0.0166830307452821,0.0,10000.0,9977.184551105767
2010-01-14,10.300000190734863,10.149999618530272,,,,,0.0,-0.02027027462415265,-0.0,10000.0,9774.481804864241
2010-01-15,10.199999809265137,10.079999923706056,,,,,0.0,-0.006896521916751719,-0.0,10000.0,9705.516585696723
2010-01-19,10.0600004196167,9.949999809265137,,,,,0.0,-0.012896836847705373,-0.0,10000.0,9576.54821721967
2010-01-20,9.899999618530272,9.729999542236328,,,,,0.0,-0.02211058002473032,-0.0,10000.0,9355.442416972366
2010-01-21,9.8100004196167,9.369999885559082,,,,,0.0,-0.036998938706476525,-0.0,10000.0,8985.453029907601
2010-01-22,9.880000114440918,9.289999961853027,,,,,0.0,-0.008537878834913304,-0.0,10000.0,8900.074241558468
2010-01-25,9.300000190734863,9.119999885559082,,,,,0.0,-0.01829925478923644,-0.0,10000.0,8717.081693666103
2010-01-26,9.0600004196167,9.199999809265137,,,,,0.0,0.008771921569070251,0.0,10000.0,8804.800909356805
2010-01-27,9.149999618530272,9.329999923706056,,,,,0.0,0.01413044751479231,0.0,10000.0,8946.105384504728
2010-01-28,9.34000015258789,9.279999732971191,,,,,0.0,-0.005359077293004333,-0.0,10000.0,8892.514611574685
2010-01-29,9.75,9.279999732971191,,,,,0.0,0.0,0.0,10000.0,8892.514611574685
2010-02-01,9.289999961853027,9.34000015258789,,,,,0.0,0.006465562644740297,0.0,10000.0,8957.170238022089
2010-02-02,9.31999969482422,9.34000015258789,,,,,0.0,0.0,0.0,10000.0,8957.170238022089
2010-02-03,9.329999923706056,9.600000381469728,,,,,0.0,0.02783728315141376,0.0,10000.0,9235.543069536227
2010-02-04,9.550000190734863,9.25,,,,,0.0,-0.03645837162103782,-0.0,10000.0,8870.959353325848
2010-02-05,9.270000457763672,9.289999961853027,,,,,0.0,0.004324320200327358,0.0,10000.0,8914.202555329122
2010-02-08,9.329999923706056,9.449999809265137,,,,,0.0,0.017222803882573468,0.0,10000.0,9086.430594154855
2010-02-09,9.5600004196167,9.520000457763672,,,,,0.0,0.007407476181100492,0.0,10000.0,9160.50535596586
2010-02-10,9.5,9.710000038146973,,,,,0.0,0.01995793815622715,0.0,10000.0,9360.084737528132
2010-02-11,9.640000343322754,9.859999656677246,,,,,0.0,0.015447952414107124,0.0,10000.0,9514.564261669204
2010-02-12,9.739999771118164,9.649999618530272,,,,,0.0,-0.021298179052649524,-0.0,10000.0,9301.582471142709
2010-02-16,9.699999809265137,9.75,,,,,0.0,0.010362734240704441,0.0,10000.0,9405.209813549753
2010-02-17,9.789999961853027,9.65999984741211,,,,,0.0,-0.009230784880809306,-0.0,10000.0,9312.90196474166
2010-02-18,9.68000030517578,9.640000343322754,,,,,0.0,-0.002070342070938369,-0.0,10000.0,9292.198544032277
2010-02-19,9.59000015258789,9.5,,,,,0.0,-0.01452285667393427,-0.0,10000.0,9146.969977292934
2010-02-22,9.520000457763672,9.239999771118164,,,,,0.0,-0.027368445145456444,-0.0,10000.0,8873.28552583837
2010-02-23,9.239999771118164,9.31999969482422,,,,,0.0,0.008658000615553663,0.0,10000.0,8959.865531993906
2010-02-24,9.31999969482422,9.220000267028809,,,,,0.0,-0.01072955268989395,-0.0,10000.0,8852.570005094965
2010-02-25,9.119999885559082,9.279999732971191,,,,,0.0,0.006507534078599164,0.0,10000.0,8917.645345880957
2010-02-26,9.3100004196167,9.619999885559082,,,,,0.0,0.03663794853138769,0.0,10000.0,9284.024831194834
